Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.6663136083	35.9645195007	19764.1777343750	0.0000000000
0.6663193919	35.9712142944	19732.5800781250	0.0000000000
0.6663251759	35.9802856445	19838.2910156250	0.0000000000
0.6663309596	35.9877967834	19848.6582031250	0.0000000000
0.6663367430	35.9967651367	19854.7617187500	0.0000000000
0.6663425501	36.0041923523	19899.7695312500	0.0000000000
0.6663483336	36.0096359253	19886.6015625000	0.0000000000
0.6663541173	36.0155143738	19934.4355468750	0.0000000000
0.6663599012	36.0179328918	19918.5898437500	0.0000000000
0.6663656847	36.0323448181	19914.2246093750	0.0000000000
0.6663714684	36.0339660645	19853.5136718750	0.0000000000
0.6663772521	36.0471420288	20001.1328125000	0.0000000000
0.6663830589	36.0504531860	20019.3007812500	0.0000000000
0.6663888426	36.0546531677	19992.5839843750	0.0000000000
0.6663946265	36.0629768372	19985.8378906250	0.0000000000
0.6664004100	36.0723190308	19908.4121093750	0.0000000000
0.6664061939	36.0763626099	19816.9785156250	0.0000000000
0.6664120007	36.0906219482	19705.2695312500	0.0000000000
0.6664177842	36.1022911072	19736.4511718750	0.0000000000
0.6664235679	36.1094894409	19699.3027343750	0.0000000000
0.6664293518	36.0990791321	19736.1113281250	0.0000000000
0.6664351353	36.1208000183	19817.4804687500	0.0000000000
0.6664409190	36.1250152588	19823.9375000000	0.0000000000
0.6664467029	36.1300888062	19858.8496093750	0.0000000000
0.6664524864	36.1355018616	19970.2695312500	0.0000000000
0.6664582935	36.1381149292	19866.2441406250	0.0000000000
0.6664640771	36.1439476013	19871.2988281250	0.0000000000
0.6664698606	36.1615715027	19907.3066406250	0.0000000000
0.6664756443	36.1678123474	19871.8476562500	0.0000000000
0.6664814282	36.1757087708	19871.8730468750	0.0000000000
0.6664872138	36.1794090271	20006.7246093750	0.0000000000
0.6664929974	36.1851196289	19951.4355468750	0.0000000000
0.6664987812	36.1893501282	19985.5566406250	0.0000000000
0.6665045882	36.1907501221	19988.6484375000	0.0000000000
0.6665103719	36.1861381531	19903.5000000000	0.0000000000
0.6665161554	36.1912117004	19841.9257812500	0.0000000000
0.6665219391	36.1927719116	19830.9785156250	0.0000000000
0.6665277488	36.1994552612	19796.0742187500	0.0000000000
0.6665335092	36.2049255371	19711.4824218750	0.0000000000
0.6665393160	36.2099533081	19734.9921875000	0.0000000000
Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.6671179929	36.7476882935	19450.2441406250	0.0000000000
0.6671237995	36.7452011108	19492.4980468750	0.0000000000
