Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.7668209838	25.2915344238	20342.5292968750	0.0000000000
0.7668267675	25.3133983612	20207.8867187500	0.0000000000
0.7668325512	25.3343162537	20353.1621093750	0.0000000000
0.7668383348	25.3464584351	20392.7031250000	0.0000000000
0.7668441186	25.3644657135	20390.7617187500	0.0000000000
0.7668499024	25.3775177002	19751.7851562500	0.0000000000
0.7668557091	25.3899955750	-2711.3583984375	0.0000000000
0.7668614938	25.4084339142	-44342.8710937500	0.0000000000
0.7668672707	25.4152355194	-83495.4609375000	0.0000000000
0.7668730492	25.4253635406	-57575.9648437500	0.0000000000
0.7668788364	25.4382019043	14500.7197265625	0.0000000000
0.7668846351	25.4508304596	15907.0312500000	0.0000000000
0.7668904161	25.4656467438	16157.5625000000	0.0000000000
0.7668961997	25.4672622681	15847.8125000000	0.0000000000
0.7669019904	25.4760284424	16025.3105468750	0.0000000000
0.7669077707	25.4806976318	15677.0966796875	0.0000000000
0.7669135686	25.4895172119	15834.8203125000	0.0000000000
0.7669193589	25.4989128113	16047.4267578125	0.0000000000
0.7669251425	25.4898262024	16038.8027343750	0.0000000000
0.7669309353	25.4971561432	15973.4277343750	0.0000000000
0.7669367267	25.5204524994	16230.4726562500	0.0000000000
0.7669424994	25.5348854065	16046.5039062500	0.0000000000
0.7669483042	25.5573558807	16052.6982421875	0.0000000000
0.7669540680	25.5695266724	16085.6816406250	0.0000000000
0.7669598531	25.5851116180	16246.0048828125	0.0000000000
0.7669656527	25.5986824036	16171.6289062500	0.0000000000
0.7669714486	25.6236095428	16005.7119140625	0.0000000000
0.7669772136	25.6456642151	15990.7998046875	0.0000000000
0.7669830078	25.6560840607	15677.5292968750	0.0000000000
0.7669888093	25.6817226410	15949.1806640625	0.0000000000
0.7669945901	25.6945419312	15918.5068359375	0.0000000000
0.7670003722	25.7113819122	15954.8564453125	0.0000000000
0.7670061676	25.7108383179	16019.2998046875	0.0000000000
0.7670119376	25.7267017365	16180.3271484375	0.0000000000
0.7670177387	25.7455196381	16211.3271484375	0.0000000000
0.7670235214	25.7443923950	16116.7304687500	0.0000000000
0.7670293026	25.7635173798	16189.1689453125	0.0000000000
0.7670350931	25.7707862854	16395.4179687500	0.0000000000
0.7670408804	25.7866344452	16363.2802734375	0.0000000000
0.7670466600	25.7846260071	16096.2500000000	0.0000000000
0.7670524571	25.7792243958	15993.7050781250	0.0000000000
0.7670582504	25.7871799469	15794.1669921875	0.0000000000
0.7670640263	25.7914466858	15711.7890625000	0.0000000000
0.7670698249	25.8025188446	15814.3085937500	0.0000000000
0.7670756135	25.8141860962	15938.2529296875	0.0000000000
0.7670813883	25.8170528412	16023.0166015625	0.0000000000
0.7670871867	25.8229160309	15986.0400390625	0.0000000000
0.7670929634	25.8284225464	15972.1269531250	0.0000000000
0.7670987520	25.8331871033	16052.8916015625	0.0000000000
0.7671045403	25.8393287659	16222.9384765625	0.0000000000
0.7671103326	25.8423309326	16293.3398437500	0.0000000000
0.7671161087	25.8422031403	16115.6259765625	0.0000000000
0.7671219117	25.8405723572	16249.6748046875	0.0000000000
0.7671277044	25.8492813110	16057.9560546875	0.0000000000
0.7671334942	25.8489971161	15867.0087890625	0.0000000000
