Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.8012784251	37.0599288940	15061.7695312500	0.0000000000
0.8012842119	37.0644836426	15205.0859375000	0.0000000000
0.8012900017	37.0671615601	16181.9404296875	0.0000000000
0.8012957798	37.0647354126	15773.7968750000	0.0000000000
0.8013015759	37.0650520325	15004.1406250000	0.0000000000
0.8013073651	37.0665740967	15950.4541015625	0.0000000000
0.8013131521	37.0634155273	16198.1923828125	0.0000000000
0.8013189273	37.0696525574	14820.6972656250	0.0000000000
0.8013247176	37.0632820129	15677.5820312500	0.0000000000
0.8013305132	37.0655784607	16481.0703125000	0.0000000000
0.8013362965	37.0648117065	15061.7333984375	0.0000000000
0.8013420747	37.0736198425	15256.7607421875	0.0000000000
0.8013478560	37.0700454712	16084.3750000000	0.0000000000
0.8013536519	37.0656471252	15960.4814453125	0.0000000000
0.8013594486	37.0673217773	14867.4785156250	0.0000000000
0.8013652202	37.0708694458	15641.7656250000	0.0000000000
0.8013710296	37.0706329346	16272.1142578125	0.0000000000
0.8013768034	37.0561256409	14707.0771484375	0.0000000000
0.8013825933	37.0647315979	15683.8457031250	0.0000000000
0.8013883657	37.0680694580	16333.7998046875	0.0000000000
0.8013941758	37.0694427490	15069.7910156250	0.0000000000
0.8013999533	37.0698966980	15152.9687500000	0.0000000000
0.8014057292	37.0718002319	16054.2138671875	0.0000000000
0.8014115172	37.0598487854	15671.1142578125	0.0000000000
0.8014173150	37.0664939880	14809.3398437500	0.0000000000
0.8014231123	37.0685806274	15786.0888671875	0.0000000000
0.8014288990	37.0655441284	16205.2070312500	0.0000000000
0.8014346658	37.0725975037	14562.0468750000	0.0000000000
0.8014404545	37.0713958740	15612.3789062500	0.0000000000
0.8014462671	37.0736007690	16335.0097656250	0.0000000000
0.8014520462	37.0726127625	15061.9677734375	0.0000000000
0.8014578404	37.0713844299	15301.6337890625	0.0000000000
0.8014636045	37.0732994080	16067.9609375000	0.0000000000
0.8014693945	37.0820617676	15810.6230468750	0.0000000000
0.8014751923	37.0723915100	14867.5488281250	0.0000000000
0.8014809852	37.0741806030	15803.6337890625	0.0000000000
0.8014867753	37.0741119385	16351.4619140625	0.0000000000
0.8014925485	37.0734138489	14840.5898437500	0.0000000000
0.8014983425	37.0762252808	15437.9248046875	0.0000000000
0.8015041341	37.0720062256	16416.8203125000	0.0000000000
0.8015099163	37.0797500610	14995.8984375000	0.0000000000
0.8015157019	37.0713233948	15273.0908203125	0.0000000000
0.8015214764	37.0533714294	16017.1083984375	0.0000000000
0.8015272627	37.0743980408	15622.1826171875	0.0000000000
0.8015330583	37.0676765442	14819.3212890625	0.0000000000
0.8015388696	37.0716590881	16023.7929687500	0.0000000000
0.8015446264	37.0717544556	16257.0009765625	0.0000000000
0.8015504152	37.0689544678	14739.5332031250	0.0000000000
0.8015562229	37.0696372986	15493.3759765625	0.0000000000
0.8015619866	37.0703239441	16257.0683593750	0.0000000000
0.8015677941	37.0740394592	15247.6582031250	0.0000000000
0.8015735824	37.0747070313	15109.1044921875	0.0000000000
0.8015793574	37.0727233887	15979.0117187500	0.0000000000
0.8015851448	37.0785102844	15924.6113281250	0.0000000000
0.8015909423	37.0758895874	14837.9111328125	0.0000000000
0.8015967233	37.0769882202	15738.0166015625	0.0000000000
0.8016025099	37.0778427124	16331.4609375000	0.0000000000
0.8016083023	37.0787811279	14716.0644531250	0.0000000000
0.8016140938	37.0757026672	15478.1279296875	0.0000000000
0.8016198822	37.0759010315	16234.3662109375	0.0000000000
0.8016256567	37.0795021057	15373.5263671875	0.0000000000
0.8016314360	37.0804710388	15138.3779296875	0.0000000000
0.8016372543	37.0775566101	16024.2714843750	0.0000000000
0.8016430199	37.0744857788	15949.7617187500	0.0000000000
0.8016488127	37.0732192993	14929.1640625000	0.0000000000
0.8016545877	37.0777664185	15667.9970703125	0.0000000000
0.8016603885	37.0802001953	16112.1728515625	0.0000000000
0.8016661759	37.0819129944	14631.6962890625	0.0000000000
0.8016719524	37.0763778687	15512.0000000000	0.0000000000
0.8016777476	37.0757827759	16132.7363281250	0.0000000000
0.8016835195	37.0744476318	15084.1689453125	0.0000000000
0.8016893148	37.0698623657	15288.4501953125	0.0000000000
0.8016951055	37.0770378113	15877.4902343750	0.0000000000
0.8017008893	37.0737762451	15800.3740234375	0.0000000000
0.8017066888	37.0652236938	14764.9707031250	0.0000000000
0.8017124707	37.0685577393	15742.7998046875	0.0000000000
0.8017182554	37.0796546936	16395.4414062500	0.0000000000
0.8017240509	37.0769348145	14742.2490234375	0.0000000000
0.8017298340	37.0669975281	15538.3056640625	0.0000000000
0.8017356108	37.0725173950	16113.1767578125	0.0000000000
0.8017414005	37.0703887939	15206.0185546875	0.0000000000
0.8017471891	37.0698547363	15108.5205078125	0.0000000000
0.8017529691	37.0687446594	15925.8134765625	0.0000000000
0.8017587668	37.0762863159	15747.9912109375	0.0000000000
0.8017645517	37.0745048523	14836.5224609375	0.0000000000
0.8017703396	37.0676269531	15569.7822265625	0.0000000000
0.8017761135	37.0747032166	16193.4873046875	0.0000000000
0.8017819193	37.0728797913	14758.6406250000	0.0000000000
0.8017876980	37.0779914856	15555.7578125000	0.0000000000
0.8017934856	37.0823059082	16060.6826171875	0.0000000000
0.8017992761	37.0810050964	15163.7617187500	0.0000000000
